Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Year On Year Growth Rate",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015911,31/03/2024 12:08:59
Per Capita GDP In Chained (2015) Dollars,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015891,31/03/2024 12:08:59
Per Capita GNI And Per Capita GDP At Current Prices,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015121,31/03/2024 12:08:59
Share Of Income Components Of Gross Domestic Product At Current Prices,Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M016071,31/03/2024 12:08:59
"Share Of Nominal Gross Value Added, By Industry (SSIC 2020)",Economy & Prices,National Accounts,Gross Domestic Product (GDP),https://tablebuilder.singstat.gov.sg/table/TS/M015781,31/03/2024 12:08:59
Gross Fixed Capital Formation At Current Prices,Economy & Prices,National Accounts,Gross Fixed Capital Formation (GFCF),https://tablebuilder.singstat.gov.sg/table/TS/M014891,31/03/2024 12:08:59
Gross Fixed Capital Formation In Chained (2015) Dollars,Economy & Prices,National Accounts,Gross Fixed Capital Formation (GFCF),https://tablebuilder.singstat.gov.sg/table/TS/M014841,31/03/2024 12:08:59
Gross Operating Surplus By Industry At Current Prices,Economy & Prices,National Accounts,Gross Operating Surplus,https://tablebuilder.singstat.gov.sg/table/TS/M015981,31/03/2024 12:08:59
Generation Of Income Account At Current Prices,Economy & Prices,National Accounts,Gross Value Added (GVA) by Institutional Sector,https://tablebuilder.singstat.gov.sg/table/TS/M016091,31/03/2024 12:08:59
Production Account At Current Prices,Economy & Prices,National Accounts,Gross Value Added (GVA) by Institutional Sector,https://tablebuilder.singstat.gov.sg/table/TS/M016101,31/03/2024 12:08:59
Other Taxes Less Subsidies On Production By Industry At Current Prices,Economy & Prices,National Accounts,Other Taxes Less Subsidies on Production,https://tablebuilder.singstat.gov.sg/table/TS/M015991,31/03/2024 12:08:59
"Output, Saving & Investment At Current Prices",Economy & Prices,National Accounts,"Output, Saving and Investment",https://tablebuilder.singstat.gov.sg/table/TS/M015031,31/03/2024 12:08:59
"Output, Saving & Investment At Current Prices In USD",Economy & Prices,National Accounts,"Output, Saving and Investment",https://tablebuilder.singstat.gov.sg/table/TS/M015101,31/03/2024 12:08:59
Personal Disposable Income At Current Prices,Economy & Prices,National Accounts,Personal Disposable Income and Personal Saving,https://tablebuilder.singstat.gov.sg/table/TS/M016081,31/03/2024 12:08:59
Private Consumption Expenditure At Current Prices,Economy & Prices,National Accounts,Private Consumption Expenditure,https://tablebuilder.singstat.gov.sg/table/TS/M015041,31/03/2024 12:08:59
Private Consumption Expenditure In Chained (2015) Dollars,Economy & Prices,National Accounts,Private Consumption Expenditure,https://tablebuilder.singstat.gov.sg/table/TS/M014951,31/03/2024 12:08:59
Direct Requirement Coefficients,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17933,31/03/2024 12:08:59
