Datasets,Data period,Last updated,Datatype,Source,Dataset url,Date_of_check
Centralised Grasscutting Area,No Date info,Updated 7 months ago,GEOJSON,National Parks Board (NPARKS),https://beta.data.gov.sg/datasets/d_77263506f7ac6103c68f16a6a3a0e331/view,17/03/2024 20:23:04
CPF Service Centres,No Date info,Updated 7 months ago,GEOJSON,Central Provident Fund Board (CPF),https://beta.data.gov.sg/datasets/d_fa1eb7f19d247f7fe660ac446a6ce6ec/view,17/03/2024 20:23:04
Singapore Police Force - 32nd ASEAN Summit Shangri-La Hotel Special Event Area,No Date info,Updated 7 months ago,GEOJSON,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_a15fe465b2c90adbace41d55b266219d/view,17/03/2024 20:23:04
Community Clubs,No Date info,Updated 7 months ago,KML,People's Association (PA),https://beta.data.gov.sg/datasets/d_f3f3aaa2786488ee335e48f77bfc3426/view,17/03/2024 20:23:04
Singapore Police Force - 32nd ASEAN Summit Shangri-La Hotel Special Zone,No Date info,Updated 7 months ago,KML,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_cf55a101e1541aff80ae476f20ad00a8/view,17/03/2024 20:23:04
Singapore Police Force - 32nd ASEAN Summit Istana Special Zone,No Date info,Updated 7 months ago,KML,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_2ca59372e7da29dbca59d5f2cb9e60e5/view,17/03/2024 20:23:04
Singapore Police Force - 32nd ASEAN Summit Istana Special Event Area,No Date info,Updated 7 months ago,GEOJSON,Singapore Police Force (SPF),https://beta.data.gov.sg/datasets/d_5814f8740f3fad66de723c6feef055ce/view,17/03/2024 20:23:04
After Death Facilities,No Date info,Updated 7 months ago,GEOJSON,National Environment Agency (NEA),https://beta.data.gov.sg/datasets/d_8057b4f4c7eca22c3c51c4ac05440f21/view,17/03/2024 20:23:04
WaterActivities@SG,No Date info,Updated 7 months ago,GEOJSON,Health Promotion Board (HPB),https://beta.data.gov.sg/datasets/d_3db7e1a18c685a2a61ced5a0deb83dae/view,17/03/2024 20:23:04
ABC Waters Completed,No Date info,Updated 7 months ago,GEOJSON,Public Utilities Board (PUB),https://beta.data.gov.sg/datasets/d_b5f239cc954bb7920245a7b8ad95dde8/view,17/03/2024 20:23:04
ABC Waters Sites,No Date info,Updated 10 months ago,KML,Public Utilities Board (PUB),https://beta.data.gov.sg/datasets/d_e19ec430b6052b83116472e7692c87d1/view,17/03/2024 20:23:04
"Housing And Development Board Resale Price Index (1Q2009 = 100), Quarterly",Jan 1990 - Sep 2022,Updated 8 months ago,CSV,Housing and Development Board (HDB),https://beta.data.gov.sg/datasets/d_14f63e595975691e7c24a27ae4c07c79/view,17/03/2024 20:23:04
Public Service Retirement & Re-employment Profile,Jan 2010 - Dec 2022,Updated 8 months ago,CSV,Public Service Division (PSD),https://beta.data.gov.sg/datasets/d_9f7941e9ac89528b15473433a0d0a2f6/view,17/03/2024 20:23:04
Public Service Outflow by Length of Service,Jan 2010 - Dec 2022,Updated 8 months ago,CSV,Public Service Division (PSD),https://beta.data.gov.sg/datasets/d_39c64f80b8067fb32ea51e0a939ca2a7/view,17/03/2024 20:23:04
Public Service Outflow by Age Profile,Jan 2010 - Dec 2022,Updated 8 months ago,CSV,Public Service Division (PSD),https://beta.data.gov.sg/datasets/d_c2b690935cec7712ab4eca88501a9a13/view,17/03/2024 20:23:04
Public Service Inflow by Age Profile,Jan 2010 - Dec 2022,Updated 8 months ago,CSV,Public Service Division (PSD),https://beta.data.gov.sg/datasets/d_b1c25988c2cea189f27fd0e824716dae/view,17/03/2024 20:23:04
