Event Title,Date,Location,Status,URL,Date_of_check
Haw-Ror Villa 2,27 - 29 Oct 2023,"Haw Par Villa, 262 Pasir Panjang Road, Singapore 118628",ENDED,https://thesmartlocal.com/read/haw-par-villa-halloween-2023/,31/03/2024 14:13:10
Korean Film Festival 2023,27 Oct - 05 Nov 2023,"3 Temasek Boulevard, #03-373, Singapore 038983",ENDED,https://thesmartlocal.com/read/korean-film-festival-2023/,31/03/2024 14:13:10
Nautical Paw-Ty @ Northshore Plaza,05 Nov 2023,"407 Northshore Drive, Singapore 820407",ENDED,https://thesmartlocal.com/read/northshore-plaza-pet-friendly-event/,31/03/2024 14:13:10
Warner Bros. 100 At Sentosa,10 - 26 Nov 2023,siloso beach,ENDED,https://thesmartlocal.com/read/warner-bros-sentosa/,31/03/2024 14:13:10
Suntec City’ Holiday Wonderland,16 Nov - 26 Dec 2023,Suntec City,ENDED,https://thesmartlocal.com/read/suntec-city-holiday-wonderland-2023/,31/03/2024 14:13:10
Nintendo Pop-Up Store,17 Nov 2023 - 01 Jan 2024,"Jewel Changi Airport, Level 04-220/221",ENDED,https://thesmartlocal.com/read/nintendo-pop-up-store-jewel-changi/,31/03/2024 14:13:10
Pipe Around The World At Jewel,17 Nov 2023 - 01 Jan 2024,"Jewel Changi, 78 Airport Boulevard, Singapore 819666",ENDED,https://thesmartlocal.com/read/super-mario-jewel-changi/,31/03/2024 14:13:10
RollerMania 3.0,17 Nov 2023 - 01 Jan 2024,"Level 7 Carpark, 68 Orchard Road, Singapore 238839",ENDED,https://thesmartlocal.com/read/rollermania-2023/,31/03/2024 14:13:10
Walt Disney Animation Studios,18 Nov - 31 Dec 2023,"4 Bayfront Avenue, Sands Theatre, Singapore 018973",ENDED,https://thesmartlocal.com/read/immersive-disney-animation/,31/03/2024 14:13:10
UNTAME: Future Of Food,24 Nov - 02 Dec 2023,Science Centre Singapore,ENDED,https://thesmartlocal.com/read/science-centre-untame-future-of-food/,31/03/2024 14:13:10
