Event Title,Date,Location,Status,URL,Date_of_check
Light To Night 2022,14 Jan - 03 Feb 2022,Civic District,ENDED,https://thesmartlocal.com/read/light-to-night-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:1_0,21 Jan 2022 - 23rd Jan 2022 ,"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:1_1, 28th Jan – 2nd Feb 2022,"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:2,,"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:3,21 Jan 2022 - 10th February 2022 (Closed on 1st – 2nd February 2022),"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:4,21 Jan 2022 - 3rd February 2022,"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:5,21 Jan 2022 - 6th February 2022,Price: $180 (1 hour) | $360 (2 hours),ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:Catch & Win,21 Jan 2022 - 6th Feb 2022 (Closed on 1st – 2nd February 2022),"Capitol Singapore, #B1-20/27 (Opposite Ponggol Nasi Lemak)",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:7_0,21 Jan 2022 - 23rd Jan 2022 ,"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
Capitol Singapore CNY 2022:7_1, 28th Jan – 30th Jan 2022,"Capitol Singapore, Outdoor Plaza",ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,08/04/2024 23:10:32
SHEIN X Atome Pop-Up Store,21 - 25 Jan 2022,"2 Orchard Link, #01-02 MOX @ *SCAPE, Singapore 237978",ENDED,https://thesmartlocal.com/read/cny-outfit-tips/,08/04/2024 23:10:32
Eevee Adventure At Sentosa,29 Jan - 20 Feb 2022,Sentosa,ENDED,https://thesmartlocal.com/read/eevee-adventure-sentosa/,08/04/2024 23:10:32
Van Cleef & Arpels: A Journey Through The Poetry Of Time:1,12th – 20th February 2022,"Marina Bay Sands Expo Hall B, 10 Bayfront Avenue, Singapore 018956",ENDED,https://thesmartlocal.com/read/van-cleef-arpels-mbs/,08/04/2024 23:10:32
Attack On Titan: The Exhibition:1,19th Feb-3rd Jul 2022,"6 Bayfront Avenue, ArtScience Museum, Singapore 018974",ENDED,https://thesmartlocal.com/read/attack-on-titan-exhibition/,08/04/2024 23:10:32
A Date With My Boomer:1,5th March 2022 only,"195 Pearl’s Hill Terrace, #01-58, Singapore 168976",ENDED,https://thesmartlocal.com/read/chinatown-free-art-jamming/,08/04/2024 23:10:32
Changi’S Sweetest Treat,11 Mar - 03 May 2022,"65 Airport Boulevard, Changi Airport Terminal 3, Singapore 819663",ENDED,https://thesmartlocal.com/read/changi-airport-chupa-chups/,08/04/2024 23:10:32
Brickman Wonders Of The World 2022:1,From 25th March – 3rd July 2022,"15 Science Centre Road, The Annexe, Science Centre Singapore, Singapore 609081",ENDED,https://thesmartlocal.com/read/brickman-lego-exhibition-sg/,08/04/2024 23:10:32
Geylang Serai Ramadan Bazaar 2022,02 Apr - 02 May 2022,"1 Geylang Serai, Singapore 402001",ENDED,https://thesmartlocal.com/read/geylang-serai-ramadan-bazaar-2022/,08/04/2024 23:10:32
Hong Kong Tourism Board,05 - 17 Apr 2022,"3 Temasek Boulevard, Suntec City East Atrium Level 1 and 3, Singapore 038983",ENDED,https://thesmartlocal.com/read/hongkong-exhibition-2022/,08/04/2024 23:10:32
New Light On An Old Tale Exhibition,05 Apr - 30 Jun 2022,"1 Canning Rise, National Archives of Singapore, Singapore 179868",ENDED,https://thesmartlocal.com/read/new-light-on-an-old-tale-exhibition/,08/04/2024 23:10:32
Coach X Two Men Bagel House Pop-Up,09 Apr - 08 May 2022,"39 Duxton Hill, Singapore 089616",ENDED,https://thesmartlocal.com/read/coach-bagel-pop-up-2022/,08/04/2024 23:10:32
Seedly Personal Finance Festival 2022,04 Apr 2022,Online,ENDED,https://thesmartlocal.com/read/seedly-personal-finance-festival-2022/,08/04/2024 23:10:32
LingoAce,23 - 26 Apr 2022,"LingoAce @ 111 Somerset, #01-47, Singapore 238164",ENDED,https://thesmartlocal.com/read/lingoace-upcycle-storybook/,08/04/2024 23:10:32
Rainbow Connection II:1,06 May 2022 - 29th May 2022,Admission: Free,ENDED,https://thesmartlocal.com/read/malay-heritage-centre-rainbow-connection/,08/04/2024 23:10:32
MetaJam Asia:1,,"Tekka Place, Annex Building 2 Serangoon Road #01-51 to 54, Tekka Place, Annex Building, Singapore 218227",ENDED,https://thesmartlocal.com/read/metajam-asia/,08/04/2024 23:10:32
Let’S Play @ D'Marquee,28 Apr 2022,Online,ENDED,https://thesmartlocal.com/read/lets-play-dmarquee-downtown-east/,08/04/2024 23:10:32
Love @ Chinatown Point,17 May - 26 Jun 2022,Chinatown Point,ENDED,https://thesmartlocal.com/read/chinatown-point-love/,08/04/2024 23:10:32
