Event Title,Date,Location,URL,Date_of_check
Ngee Ann City 3V2 Tag Rugby Carnival,11 NOV - 11 NOV,"Ngee Ann City, Civic Plaza",https://www.activesgcircle.gov.sg/things-to-do/events/ngee-ann-city-3v2-tag-rugby-carnival-647726,08/05/2024 14:33:47
Tales from the Nusantara: The Victorious Buffalo,11 NOV - 11 NOV,"Singapore Sports Museum, 6 Stadium Walk",https://www.activesgcircle.gov.sg/things-to-do/events/tales-from-the-nusantara:-the-victorious-buffalo-311810,08/05/2024 14:33:47
Jump For Hope 2023,18 NOV - 18 NOV,"Far East Plaza, Atrium @ Level 2, 14 Scotts Rd, Singapore 228213",https://www.activesgcircle.gov.sg/things-to-do/events/jump-for-hope-2023--568979,08/05/2024 14:33:47
FIFA World Cup 2026 Qualifiers: Singapore vs Thailand,21 NOV - 21 NOV,Singapore National Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/fifa-world-cup-2026-qualifiers-singapore-vs-thai-21112023,08/05/2024 14:33:47
SINGAPORE REGATTA WATERFEST 2023,25 Nov - 26 Nov,"Water Sports Centre, Singapore Sports Hub",https://www.activesgcircle.gov.sg/things-to-do/events/singapore-regatta-waterfest-2023-454864,08/05/2024 14:33:47
National Fours Championships 2023 Semifinals & Finals (Lawn Bowls),25 NOV - 25 NOV,"Kallang Lawn Bowls Green - 8 Stadium Boulevard, Singapore 397804",https://www.activesgcircle.gov.sg/things-to-do/events/national-fours-championships-2023-semifinals-&-finals-(lawn-bowls)-223262,08/05/2024 14:33:47
Singapore Standard Chartered Marathon 2023,01 Dec - 03 Dec,Singapore,https://www.activesgcircle.gov.sg/things-to-do/events/singapore-standard-chartered-marathon-2023-01/12/2023,08/05/2024 14:33:47
Sporty Playdate,02 DEC - 02 DEC,"OCBC Square, Singapore Sports Hub",https://www.activesgcircle.gov.sg/things-to-do/events/sporty-playdate-476813,08/05/2024 14:33:47
14TH WOMEN’S WORLD FLOORBALL CHAMPIONSHIPS 2023,02 Dec - 10 Dec,OCBC Arena & Singapore Indoor Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/14th-women%E2%80%99s-world-floorball-championships-2023-322571,08/05/2024 14:33:47
The Journey Onwards,06 Dec - 31 Dec,"Stadium Roar, Singapore Sports Hub",https://www.activesgcircle.gov.sg/things-to-do/events/the-journey-onwards-760843,08/05/2024 14:33:47
Santa Race For Wishes 2023,09 Dec - 31 Dec,,https://www.activesgcircle.gov.sg/things-to-do/events/santa-race-for-wishes-2023-699733,08/05/2024 14:33:47
A Golden Thread: Sport in Singapore - Visions For Change Book Talk,13 DEC - 13 DEC,"National Library Building, Level 1, Visitor's Briefing Room",https://www.activesgcircle.gov.sg/things-to-do/events/a-golden-thread:-sport-in-singapore---visions-for-change-book-talk-607289,08/05/2024 14:33:47
4 Nations Hockey Tournament 2023,13 Dec - 17 Dec,"57 Anchorvale Road, Sengkang Sport Centre",https://www.activesgcircle.gov.sg/things-to-do/events/4-nations-hockey-tournament-2023-160672,08/05/2024 14:33:47
Bianka Panova International Cup 2023 (BPIC),20 Dec - 22 Dec,OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/bianka-panova-international-cup-2023-(bpic)-485622,08/05/2024 14:33:47
"""Queen Leoterra"" Theatre Show",20 Dec - 22 Dec,OCBC Arena Hall 1,https://www.activesgcircle.gov.sg/things-to-do/events/,08/05/2024 14:33:47
GRIT ASIA 3x3 PRO CHALLENGE FINALS PLAYOFF,23 DEC - 23 DEC,"Our Tampines Hub, Team Sports Hall, Level 2",https://www.activesgcircle.gov.sg/things-to-do/events/grit-asia-3x3-pro-challenge-finals-playoff-424820,08/05/2024 14:33:47
Jumpshot 3x3,06 Jan - 07 Jan,Bukit Panjang Plaza,https://www.activesgcircle.gov.sg/things-to-do/events/jumpshot-3x3-544636,08/05/2024 14:33:47
Sunday Morning Flow Yoga,07 JAN - 07 JAN,Gazebo @ Fort Canning Green,https://www.activesgcircle.gov.sg/things-to-do/events/sunday-morning-flow-yoga-07012024,08/05/2024 14:33:47
"Football Legends Charity Match, Teams: LMTB Global FC vs SHINE All-Stars",12 JAN - 12 JAN,"Our Tampines Hub, Singapore",https://www.activesgcircle.gov.sg/things-to-do/events/lmtb-global-fc-vs-shine-all-stars,08/05/2024 14:33:47
Waein Cup Open Championship Singapore 2024,12 Jan - 14 Jan,"Our Tampines Hub, Community Auditorium",https://www.activesgcircle.gov.sg/things-to-do/events/waein-cup-open-championship-singapore,08/05/2024 14:33:47
NUS Bizad Charity Run 2024,13 JAN - 13 JAN,"National University Singapore, 12 Science Drive 2, Singapore 117549",https://www.activesgcircle.gov.sg/things-to-do/events/nus-bizad-charity-run-2024,08/05/2024 14:33:47
Kid's Cycling Clinic,13 JAN - 13 JAN,"Our Tampines Hub, Central Plaza",https://www.activesgcircle.gov.sg/things-to-do/events/kids-cycling-clinic,08/05/2024 14:33:47
Sunday Morning Flow Yoga,14 JAN - 14 JAN,Gazebo @ Fort Canning Green,https://www.activesgcircle.gov.sg/things-to-do/events/sunday-morning-flow-yoga-14012024,08/05/2024 14:33:47
ASICS Running Club,16 JAN - 16 JAN,Singapore Indoor Stadium (Carpark L),https://www.activesgcircle.gov.sg/things-to-do/events/asics-running-club-150124,08/05/2024 14:33:47
Parasport360: Discover Badminton,18 JAN - 18 JAN,Yio Chu Kang Sports Hall,https://www.activesgcircle.gov.sg/things-to-do/events/parasport360-discover-badminton-18012024,08/05/2024 14:33:47
